,Inter_No,Intersection,long,lat,Address,Grid_ID,X,Y
0,0,3,120.6676563,31.30835368,"加城大厦, 星海街, 加城社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国",46,3,1
1,1,8,120.7523036,31.31914433,"钟南街, 苏州工业园区, 星辰北社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",38,2,8
2,2,22,120.7519357,31.32337276,"钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",38,2,8
3,3,51,120.7210332,31.28812589,"东延路, 星涛社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",80,5,5
4,4,61,120.8192882,31.34145759," '后戴街, 苏州工业园区, 亭南社区, 国际商务区(综合保税区), 胜浦街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国",14,0,14
5,5,147,120.664491,31.32624755,"'苏慕路, 新加社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国'",15,1,0
6,6,220,120.7282268,31.33914436,"'南施街, 苏州工业园区, 钟南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
7,7,224,120.7514571,31.33519773," '钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",8,0,8
8,8,257,120.7002408,31.32594564," '观枫街, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",18,1,3
9,9,265,120.7234369,31.26601363," '崇文路, 星慧社区, 月亮湾社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",110,7,5
10,10,271,120.6674156,31.31781142," '中银惠龙大厦, 苏州大道西, 苏悦广场, 天翔社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",31,2,1
11,11,330,120.7001983,31.32746748," '观枫街, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国'",18,1,3
12,12,387,120.6577615,31.29137701,"'北摆宴街, 葑南路社区, 娄葑街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215128, 中国',",75,5,0
13,13,393,120.7175668,31.31932201," '钟园路, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",35,2,5
14,14,404,120.7293041,31.31492916," '南施街, 欧典社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",36,2,6
15,15,445,120.6958969,31.33119957," '苏州工业园区星湾学校, 玲珑街, 苏州工业园区, 玲珑湾社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",18,1,3
16,16,501,120.666634,31.31993259," '苏绣路, 都市社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, China 中国',",30,2,0
17,17,518,120.7153715,31.33341889," '西沈浒路, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",20,1,5
18,18,560,120.7516483,31.33072952," '钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",23,1,8
19,19,566,120.7199547,31.31035781," '中塘公园（在建）, 中新大道东, 中塘社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",50,3,5
20,20,573,120.6558009,31.32458402," '星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",15,1,0
21,21,579,120.7207355,31.28125692," '星湖街, 星涛社区, 月亮湾社工委, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",95,6,5
22,22,581,120.7438501,31.32258442,"'钟园路, 钟悦社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",37,2,7
23,23,597,120.7166829,31.32165732," '旺墩路, 金鸡湖商业广场, Z18-Z23, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",35,2,5
24,24,606,120.6912788,31.29805242," '金鸡湖大道, 高尔夫社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",63,4,3
25,25,611,120.6652401,31.32403626," '新城邻里中心东, 星海街, 苏州工业园区, 四季新社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",15,1,0
26,26,638,120.7133101,31.30084546," '西华林街, 邻瑞社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",64,4,4
27,27,644,120.7157338,31.32962008," '苏州工业园区景城学校, 九华路, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",20,1,5
28,28,685,120.7055379,31.32477345," '苏州大道东, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",19,1,4
29,29,744,120.7602295,31.33175196," '太阳星辰花园南, 现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",23,1,8
30,30,795,120.7189553,31.31553684," '西洲路, 枫情水岸社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国'",35,2,5
31,31,830,120.7214374,31.33426538,"'西沈浒路, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",5,0,5
32,32,905,120.7086174,31.32075955," '旺墩路, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",34,2,4
33,33,959,120.7255568,31.25241957," '星湖街, 菁英公寓社区, 月亮湾社工委, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",141,9,6
34,34,968,120.722614,31.32025398," '钟园路, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国'",35,2,5
35,35,973,120.7522281,31.31696209,"'方洲路, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",38,2,8
36,36,1005,120.7285794,31.33077645," '白塘公园, 南施街, Z18-Z23, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国'",21,1,6
37,37,1017,120.7043178,31.29993576,"'金鸡湖大道, 高尔夫社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",64,4,4
38,38,1050,120.7180798,31.29267807," '东华林街, 双湖湾社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",80,5,5
39,39,1074,120.7093331,31.32043961," '钟园路, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",34,2,4
40,40,1107,120.7287029,31.3403425," '苏虹中路, 苏州工业园区, Z43, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
41,41,1113,120.743738,31.32990446," '现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",22,1,7
42,42,1114,120.7083828,31.33261119," '西沈浒路, 海尚社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",19,1,4
43,43,1137,120.664166,31.32892183," '星海街, 苏州工业园区, 四季新社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",15,1,0
44,44,1210,120.6583252,31.28915428," '南摆宴街, 葑南路社区, 娄葑街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215128, 中国',",75,5,0
45,45,1244,120.6674493,31.29857232," '星海街, 加城社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",61,4,1
46,46,1259,120.7517474,31.32835949," '钟南街首末站南, 钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",23,1,8
47,47,1292,120.7330703,31.28797163," '莲池街, 新东苑社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",81,5,6
48,48,1307,120.7205629,31.29253051," '星湖街, 星洲湾社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",80,5,5
49,49,1348,120.7082486,31.32771035," '现代大道, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",19,1,4
50,50,1351,120.7283711,31.33716458," '南施街, Z18-Z23, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
51,51,1379,120.7149293,31.33807224," '苏虹中路, 苏州工业园区, Z43, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",5,0,5
52,52,1424,120.6676857,31.31123604," ""Nana's easy spoken bar, 星海街, 加城社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国"",",46,3,1
53,53,1483,120.6948391,31.33500418," '玲珑街, 苏州工业园区, 张泾社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",3,0,3
54,54,1497,120.7298225,31.28818329," '松涛街, 锦塘社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",81,5,6
55,55,1572,120.7336245,31.29803598," '莲葑路, 莲香社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国",66,4,6
56,56,1575,120.6615207,31.28928021,"'娄葑镇人民政府, 通园路, 群力社区, 娄葑街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215128, 中国',",75,5,0
57,57,1579,120.7224304,31.32229468," '圆融大厦, 万盛街, 枫情水岸社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",35,2,5
58,58,1615,120.728903,31.32823498," '园区青少年中心, 现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",21,1,6
59,59,1616,120.728998,31.32096944," '钟园路, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",36,2,6
60,60,1639,120.7555941,31.33119," '现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",23,1,8
61,61,1670,120.7298854,31.29430781," '金鸡湖大道, 荷韵社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",66,4,6
62,62,1694,120.7375504,31.28821322," '东延路, 彩莲社区, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",82,5,7
63,63,1711,120.8115237,31.33907886," '兴浦路, 苏州工业园区, 兴浦社区, 国际商务区(综合保税区), 胜浦街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",13,0,13
64,64,1741,120.7180912,31.28815582,"'华林幼儿园, 东华林街, 荣域社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国',",80,5,5
65,65,1767,120.7065066,31.32427408," '右岸街, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",19,1,4
66,66,1785,120.7134791,31.28827574," '石莲街, 荣域社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",79,5,4
67,67,1844,120.7234018,31.31035137,"'中新大道东, 中塘社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",50,3,5
68,68,1850,120.716298,31.325196," '星湖街, 苏州大道东, Z18-Z23, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国",20,1,5
69,69,1873,120.7283474,31.3352766,"'西沈浒路, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
70,70,1879,120.7364047,31.31665626," '华润万家, 荆梁街, 国际水岸社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215000, 中国',",36,2,6
71,71,1882,120.7513123,31.33866271," '东沈浒路, 时代上城北社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",8,0,8
72,72,1901,120.6674755,31.30073127," '星海街, 加城社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国'",61,4,1
73,73,1902,120.7086984,31.32441869,"荆梁街, 第五元素社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国",19,1,4
74,74,1905,120.7363073,31.31546261,"星湖街, 荣域社区, 月亮湾社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国",36,2,6
75,75,1914,120.7205751,31.28247664,"金鸡湖大道, 金星苑社区, 月亮湾社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国",95,6,5
76,76,1926,120.7549824,31.2936317,"东延路, 金星苑社区, 月亮湾社工委, 斜塘街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国",68,4,8
77,77,2049,120.7549323,31.28821599,"中新大道东, 澳韵社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国",83,5,8
78,78,2050,120.7364057,31.31059468,"中新大道东, 澳韵社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国",51,3,6
79,79,2053,120.666579,31.31768984,"'苏州大道西, 苏悦广场, 天翔社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",30,2,0
80,80,2063,120.6676387,31.30949192," '星海街, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",46,3,1
81,81,2103,120.6562663,31.31835117," '星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",30,2,0
82,82,2123,120.7159123,31.32759688," '现代大道星湖街, 现代大道, 星湖社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",20,1,5
83,83,2134,120.7218257,31.3294921," '景城邻里中心, 九华路, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",20,1,5
84,84,2141,120.6660897,31.31857521," '师惠坊, 苏雅路, 天翔社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国'",30,2,0
85,85,2149,120.7294689,31.31045025,"'中新大道东, 澳韵社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",51,3,6
86,86,2180,120.6959873,31.32746764," '苏州大道东, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",18,1,3
87,87,2258,120.694923,31.33447628," '苏虹中路, 苏州工业园区, Z43, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",3,0,3
88,88,2386,120.7075783,31.3368306," '华池街, 圆融时代广场, 星湖社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",4,0,4
89,89,2417,120.666933,31.31077748," '苏茜路, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",45,3,0
90,90,2429,120.7844857,31.33428534," '现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",11,0,11
91,91,2494,120.721952,31.32788657,"'万盛街, 景城社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",20,1,5
92,92,2519,120.7082334,31.33013432," '九华路, 星湖社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国'",19,1,4
93,93,2542,120.6562555,31.32262205,"'香樟公寓, 星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",30,2,0
94,94,2599,120.6730022,31.29539816," '高和路, 大湖城邦商业街, 高尔夫社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",61,4,1
95,95,2703,120.7068681,31.32097004," '棒约翰, 右岸街, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",34,2,4
96,96,2725,120.7362234,31.32178787," '荆梁街, 第五元素社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",36,2,6
97,97,2741,120.7510965,31.34382057," '钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",8,0,8
98,98,2766,120.752463,31.31108397," '中新大道东（在建）, 中新大道东, 锦溪社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",53,3,8
99,99,2959,120.7202707,31.29935715," '星湖街, 邻瑞社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",65,4,5
100,100,2963,120.7281132,31.34024517," '苏虹中路, 苏州工业园区, Z43, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
101,101,2989,120.7132471,31.32488014," '时韵街, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",19,1,4
102,102,3050,120.7616764,31.31151459," '中新大道东, 凤凰城社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",54,3,9
103,103,3077,120.7339311,31.29358572," '金鸡湖大道, 金星苑社区, 月亮湾社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",66,4,6
104,104,3106,120.6552405,31.32723268,"'苏虹西路, 苏州工业园区, 东方社区, 湖西社工委, 娄葑街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",15,1,0
105,105,3217,120.7361133,31.32901674," '津梁街北, 现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",21,1,6
106,106,3291,120.6563522,31.32205596,"'华庭苑, 星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",30,2,0
107,107,3393,120.7146443,31.2926423," '塘浦路, 双湖湾社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",80,5,5
